Hugo_Symbol,submitter_id,expression
CTNNA2,TCGA-A6-2682,-1.2877
DCC,TCGA-A6-2682,1.2918
ERBB4,TCGA-A6-2682,0.3224
FAM123B,TCGA-A6-2682,0.3565
FAM47C,TCGA-A6-2682,-1.3237
FAT1,TCGA-A6-2682,0.1743
FAT3,TCGA-A6-2682,0.5499
FAT4,TCGA-A6-2682,0.3077
FBXW7,TCGA-A6-2682,-0.6083
GRIN2A,TCGA-A6-2682,0.2058
KRAS,TCGA-A6-2682,0.6382
LRP1B,TCGA-A6-2682,-1.1856
MLL3,TCGA-A6-2682,-0.4846
MLL4,TCGA-A6-2682,-0.8801
MUC16,TCGA-A6-2682,-0.3272
MYH11,TCGA-A6-2682,0.4323
NBEA,TCGA-A6-2682,0.5352
PIK3CA,TCGA-A6-2682,-0.1061
PREX2,TCGA-A6-2682,-0.2135
PTPN13,TCGA-A6-2682,0.2293
PTPRT,TCGA-A6-2682,0.3481
RNF213,TCGA-A6-2682,-1.7433
RNF43,TCGA-A6-2682,0.3457
ROBO2,TCGA-A6-2682,0.0401
ROS1,TCGA-A6-2682,-0.4884
SMAD4,TCGA-A6-2682,-0.4864
TCF7L2,TCGA-A6-2682,0.4807
TNC,TCGA-A6-2682,0.4953
TP53,TCGA-A6-2682,0.8157
TRRAP,TCGA-A6-2682,-1.1023
ZFHX3,TCGA-A6-2682,-0.384
ACVR2A,TCGA-A6-2684,0.0676
AKAP9,TCGA-A6-2684,-0.6529
ANK1,TCGA-A6-2684,-0.5478
APC,TCGA-A6-2684,-0.5954
ARID1A,TCGA-A6-2684,0.2729
ATM,TCGA-A6-2684,-0.1346
ATRX,TCGA-A6-2684,0.3555
BCL9,TCGA-A6-2684,-0.3344
BCL9L,TCGA-A6-2684,1.0652
BCORL1,TCGA-A6-2684,-1.1055
BIRC6,TCGA-A6-2684,-0.0197
BRAF,TCGA-A6-2684,-0.3531
BRCA2,TCGA-A6-2684,-0.8691
CARD11,TCGA-A6-2684,0.5584
CDH10,TCGA-A6-2684,0.7017
CDH4,TCGA-A6-2684,0.289
CNTNAP2,TCGA-A6-2684,-2.097
CREBBP,TCGA-A6-2684,-0.1871
CSMD3,TCGA-A6-2684,-0.5813
CTNNA2,TCGA-A6-2684,0.6153
DCC,TCGA-A6-2684,0.3493
ERBB4,TCGA-A6-2684,-0.6133
FAM123B,TCGA-A6-2684,1.3746
FAM47C,TCGA-A6-2684,-1.3237
FAT1,TCGA-A6-2684,0.0899
FAT3,TCGA-A6-2684,0.8328
FAT4,TCGA-A6-2684,0.77
FBXW7,TCGA-A6-2684,-1.5025
GRIN2A,TCGA-A6-2684,0.6624
KRAS,TCGA-A6-2684,-0.1176
LRP1B,TCGA-A6-2684,0.1743
MLL3,TCGA-A6-2684,0.0477
MLL4,TCGA-A6-2684,-0.0771
MUC16,TCGA-A6-2684,-1.0807
MYH11,TCGA-A6-2684,1.5496
NBEA,TCGA-A6-2684,0.8285
PIK3CA,TCGA-A6-2684,0.5357
PREX2,TCGA-A6-2684,0.6309
PTPN13,TCGA-A6-2684,0.1714
PTPRT,TCGA-A6-2684,0.2418
RNF213,TCGA-A6-2684,-0.8148
RNF43,TCGA-A6-2684,-0.0978
ROBO2,TCGA-A6-2684,0.6519
ROS1,TCGA-A6-2684,-1.3388
SMAD4,TCGA-A6-2684,-0.9111
TCF7L2,TCGA-A6-2684,0.5921
TNC,TCGA-A6-2684,1.2344
TP53,TCGA-A6-2684,0.2669
TRRAP,TCGA-A6-2684,-1.0307
ZFHX3,TCGA-A6-2684,-0.1579
ACVR2A,TCGA-A6-2685,0.2821
AKAP9,TCGA-A6-2685,-0.5183
ANK1,TCGA-A6-2685,-0.1003
APC,TCGA-A6-2685,0.6601
ARID1A,TCGA-A6-2685,-0.247
ATM,TCGA-A6-2685,0.4593
